contactType,Federal Agency,Sub Agency,unique id,is_cfo
Federal Organization,Office of Government Ethics,,oge.gov,N
Federal Organization,Department of Agriculture,Risk Management Agency,rma.usda.gov,Y
Federal Organization,Department of Defense,US Army Corps of Engineers,rid.usace.army.mil,N
Federal Organization,Department of Veterans Affairs,,va.gov,Y
Federal Organization,Department of Defense,Acquisition Technology and Logistics,atl.dod.gov,Y
Federal Organization,Chemical Safety Board,,csb.gov,N
Federal Organization,Department of Agriculture,Foreign Agricultural Service,fas.usda.gov,Y
Federal Organization,Department of Health and Human Services,Health Resources and Services Administration,hrsa.gov,Y
Federal Organization,Department of Agriculture,National Appeals Division,nda.usda.gov,Y
Federal Organization,General Services Administration,Office of Governmentwide Policy,ogp.gsa.gov,Y
Federal Organization,Railroad Retirement Board,,rrb.gov,N
Federal Organization,Department of Veterans Affairs,Veterans Benefits Administration,vba.va.gov,Y
Federal Organization,Department of Justice,Antitrust Division,atr.usdoj.gov,Y
Federal Organization,Court Services and Offender Supervision Agency,,csosa.gov,N
Federal Organization,Farm Credit Administration,,fca.gov,N
Federal Organization,Department of Housing and Urban Development,,hud.gov,Y
Federal Organization,National Endowment for the Arts,,nea.gov,N
Federal Organization,Department of Housing and Urban Development,Office of Housing,oh.hud.gov,Y
Federal Organization,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,samhsa.hhs.gov,Y
Federal Organization,Department of Labor,Veterans Employment and Training Service,vets.dol.gov ,Y
Federal Organization,Broadcasting Board of Governors,,bbg.gov,N
Federal Organization,Department of the Interior,National Park Service,crgis.nps.gov,N
Federal Organization,Federal Communications Commission,,fcc.gov,N
Federal Organization,Department of Justice,Federal Bureau of Investigation,ic.fbi.gov,Y
Federal Organization,National Endowment for the Humanities,,neh.gov,N
Federal Organization,Department of Homeland Security,Office of Health Affairs,oha.dhs.gov,Y
Federal Organization,Small Business Administration,,sba.gov,Y
Federal Organization,Department of Veterans Affairs,Veterans Health Administration,vha.va.gov,Y
Federal Organization,Department of Commerce,Bureau of Economic Analysis,bea.gov,Y
Federal Organization,General Services Administration,Office of Citizen Services and Innovative Technologies,gsa.gov,N
Federal Organization,Department of Health and Human Services,US Food and Drug Administration,fda.hhs.gov,Y
Federal Organization,Department of Education,Institute of Education Sciences,ies.ed.gov,Y
Federal Organization,Department of Defense,National Geospatial-Intelligence Agency,nga.mil,Y
Federal Organization,Department of the Interior,Office of Hearings and Appeals,oha.doi.gov,Y
Federal Organization,Department of Education,Office of Hearings and Appeals,oha.ed.gov,Y
Federal Organization,Securities and Exchange Commission,,sec.gov,N
Federal Organization,Executive Office of the President,White House,wh.eop.gov,N
Federal Organization,Department of the Treasury,Bureau of Engraving and Printing,bep.gov,Y
Federal Organization,Department of Homeland Security,,dhs.gov,Y
Federal Organization,Federal Deposit Insurance Corporation,,fdic.gov,N
Federal Organization,Department of Health and Human Services,Indian Health Services,ihs.hhs.gov,Y
Federal Organization,Department of Transportation,National Highway Traffice Safety Administration,nhtsa.dot.gov,Y
Federal Organization,Department of Education,Office of Innovation and Improvement,oii.ed.gov,Y
Federal Organization,Department of Transportation,Saint Lawrence Seaway Development Corporation,slsdc.dot.gov,Y
Federal Organization,Department of Labor,Wage and Hour Division,whd.dol.gov,Y
Federal Organization,Department of Justice,Board of Immigration Appeals,bia.doj.gov,Y
Federal Organization,Department of Defense,Defense Logistics Agency,dla.mil,Y
Federal Organization,Federal Election Commission,,fec.gov,N
Federal Organization,Institute of Museum and Library Services,,imls.gov,N
Federal Organization,Department of Agriculture,National Institute of Food and Agriculture,nifa.usda.gov,Y
Federal Organization,Department of Homeland Security,Office of Immigration Statistics,ois.dhs.gov,Y
Federal Organization,Social Security Administration,,ssa.gov,Y
Federal Organization,Department of Defense,National Geospatial-Intelligence Agency,wwhgd.nga.org,Y
Federal Organization,Department of the Interior,Bureau of Indian Education,bie.doi.gov,Y
Federal Organization,Department of Agriculture,Departmental Management,dm.usda.gov,Y
Federal Organization,Department of Homeland Security,Federal Emergency Management Agency,fema.gov,Y
Federal Organization,Environmental Protection Agency,,epa.gov,N
Federal Organization,National Indian Gaming Commission,,nigc.gov,N
Federal Organization,Department of Labor,Office of Job Corps,ojc.dol.gov,Y
Federal Organization,Selective Service System,,sss.gov,N
Federal Organization,Department of Commerce,Bureau of Industry and Security,bis.doc.gov,Y
Federal Organization,Director of National Intelligence,,dni.gov,N
Federal Organization,Federal Energy Regulatory Commission,,ferc.gov,N
Federal Organization,Department of the Treasury,Internal Revenue Service,irs.gov,Y
Federal Organization,Department of Health and Human Services,National Institutes of Health,nih.hhs.gov,Y
